,"La siguiente línea de precios aplica para POSADAS AL RÍO (incluye valor de lotes). En otros desarrollos consultar su vigencia, cupos y condiciones)",,,,,,,,,,,,,,,,"PLAN DE VENTA DENTRO DEL FIDEICOMISO CON ""CUPOS"" DE ENTREGA PROGRAMADA - ANTICIPO FLEXIBLE DEL 25% - SALDO 100% FINANCIADO BANCO + DESARROLLADOR",,,PROMOCIÓN PAGO CONTADO SOBRE PRECIO DE LISTA DENTRO DEL FIDEICOMISO/CUPO - APLICABLE A TODOS LOS MODELOS - SALDO 100% FINANCIADO BANCO + DESARROLLADOR,,,PLAN DE VENTA ESPECIAL PRECIO DE POZO DENTRO DEL FIDEICOMISO -  ANTICIPO FLEXIBLE DEL 35% Y AHORRO 35% SOBRE EL COSTO TOTAL (% anticipo = % descuento - Tope 35%). ,,
LÍNEA,NOMBRE,SKU,SISTEMA C.,Estilo,Tipología,Variante,M2 CUBIER.,M2 SEMIC.,Plantas,Dorm.,Baños,Toilette,Lavadero,Parrilla,COSTO PLANO,OFERTA,PRECIO LISTA,PRECIO / M2,ANTICIPO,PRECIO CONTADO,PRECIO / M2,ANTICIPO,PRECIO POZO,PRECIO / M2,ANTICIPO
,CEDRO I,,STEEL FRAMING PLUS,Moderno,1,,127,,1,1,31/12,si,Ext.,Si,$174.625,Lote + Casa + Guardería,$200.819,$1.581,$50.205,$182.563,$182.563,$182.563,$148.755,$1.171,$52.064
,CEDRO II,,STEEL FRAMING PLUS,Moderno,1,,220,,2,2/3/4,2/3,si,Ext.,Si,$302.500,Lote + Casa + Guardería,$347.875,$1.581,$86.969,$316.250,"6,917406711",$316.250,$257.685,$1.171,$90.190
,INGÁ I,,STEEL FRAMING PLUS,Moderno,2,,127,,1,1,31/12,si,Ext.,Si,$174.625,Lote + Casa + Guardería,$200.819,$1.581,$50.205,$182.563,$182.563,$182.563,$148.755,$1.171,$52.064
,INGÁ II,,STEEL FRAMING PLUS,Moderno,2,,220,,2,2/3/4,2/3,si,Ext.,Si,$302.500,Lote + Casa + Guardería,$347.875,$1.581,$86.969,$316.250,"6,917406711",$316.250,$257.685,$1.171,$90.190
,ANCHICO I,,STEEL FRAMING PLUS,Moderno,3,,127,,1,1,31/12,si,Ext.,Si,$174.625,Lote + Casa + Guardería,$200.819,$1.581,$50.205,$182.563,$182.563,$182.563,$148.755,$1.171,$52.064
,ANCHICO II,,STEEL FRAMING PLUS,Moderno,3,,220,,2,2/3/4,2/3,si,Ext.,Si,$302.500,Lote + Casa + Guardería,$347.875,$1.581,$86.969,$316.250,"6,917406711",$316.250,$257.685,$1.171,$90.190
,"La siguiente línea de precios aplica para POSADAS AL RÍO (incluye valor de lotes). En otros desarrollos consultar su vigencia, cupos y condiciones)",,,,,,,,,,,,,,,,"PLAN DE VENTA DENTRO DEL FIDEICOMISO CON ""CUPOS"" DE ENTREGA PROGRAMADA - ANTICIPO FLEXIBLE DEL 25% - SALDO 100% FINANCIADO BANCO + DESARROLLADOR",,,PROMOCIÓN PAGO CONTADO SOBRE PRECIO DE LISTA DENTRO DEL FIDEICOMISO/CUPO - APLICABLE A TODOS LOS MODELOS - SALDO 100% FINANCIADO BANCO + DESARROLLADOR,,,PLAN DE VENTA ESPECIAL PRECIO DE POZO DENTRO DEL FIDEICOMISO -  ANTICIPO FLEXIBLE DEL 35% Y AHORRO 35% SOBRE EL COSTO TOTAL (% anticipo = % descuento - Tope 35%). ,,
LÍNEA,FRAMING ESTÁNDAR,SKU,SISTEMA C.,Estilo,Tipología,Variante,M2 CUBIER.,M2 SEMIC.,Plantas,Dorm.,Baños,Toilette,Lavadero,Parrilla,COSTO PLANO,OFERTA,PRECIO LISTA,PRECIO / M2,ANTICIPO,PRECIO CONTADO,PRECIO / M2,ANTICIPO,PRECIO POZO,PRECIO / M2,ANTICIPO
ATLAS,LOTE PROPIO 600M2 + GUARDERÍA NÁUTICA,,,,,,-,,-,-,-,-,-,,$54.000,,"$67.500,00","$112,50","$16.875,00","$60.750,00","$101,25","$60.750,00","$45.562,50","$75,94","$34.171,88"
,PAMPA,,WOOD FRAMING PLUS,Campestre,1,,40,,1,1,1,0,Ext.,Si,$55.000,Lote + Casa + Guardería,"$63.250,00",$1.581,$15.813,"$56.925,00",$1.423,$56.925,"$46.851,85",$1.171,$16.398
,PAMPA,,WOOD FRAMING PLUS,Campestre,1,,"55,8",,1,2,1,0,Ext.,Si,$76.725,Lote + Casa + Guardería,"$88.233,75",$1.581,$22.058,"$79.410,38",$1.423,$79.410,"$65.358,33",$1.171,$22.875
,PAMPA,,WOOD FRAMING PLUS,Campestre,1,,"73,9",,1,3,1,0,Ext.,Si,$101.613,Lote + Casa + Guardería,"$116.854,38",$1.581,$29.214,"$105.168,94",$1.423,$105.169,"$86.558,80",$1.171,$30.296
,PAMPA,,WOOD FRAMING PLUS,Campestre,1,,"82,4",,1,4,1,1,Ext.,Si,$113.300,Lote + Casa + Guardería,"$130.295,00",$1.581,$32.574,"$117.265,50",$1.423,$117.266,"$96.514,81",$1.171,$33.780
,PAMPA,,WOOD FRAMING PLUS,Campestre,1,,"85,5",,1,4,2,0,Ext.,Si,$117.563,Lote + Casa + Guardería,"$135.196,88",$1.581,$33.799,"$121.677,19",$1.423,$121.677,"$100.145,83",$1.171,$35.051
,ESCANDINAVIA,,WOOD FRAMING PLUS,Nórdico,1,,40,,1,1,1,0,Ext.,Si,$55.000,Lote + Casa + Guardería,"$63.250,00",$1.581,$15.813,"$56.925,00",$1.423,$56.925,"$46.851,85",$1.171,$16.398
