,"La siguiente línea de precios aplica para POSADAS AL RÍO (incluye valor de lotes). En otros desarrollos consultar su vigencia, cupos y condiciones)",,,,,,,,,,,,,,,,"PLAN DE VENTA DENTRO DEL FIDEICOMISO CON ""CUPOS"" DE ENTREGA PROGRAMADA - ANTICIPO FLEXIBLE DEL 25% - SALDO 100% FINANCIADO BANCO + DESARROLLADOR",,,PROMOCIÓN PAGO CONTADO SOBRE PRECIO DE LISTA DENTRO DEL FIDEICOMISO/CUPO - APLICABLE A TODOS LOS MODELOS - SALDO 100% FINANCIADO BANCO + DESARROLLADOR,,,PLAN DE VENTA ESPECIAL PRECIO DE POZO DENTRO DEL FIDEICOMISO -  ANTICIPO FLEXIBLE DEL 35% Y AHORRO 35% SOBRE EL COSTO TOTAL (% anticipo = % descuento - Tope 35%). ,,
LÍNEA,NOMBRE,SKU,SISTEMA C.,Estilo,Tipología,Variante,M2 CUBIER.,M2 SEMIC.,Plantas,Dorm.,Baños,Toilette,Lavadero,Parrilla,COSTO PLANO,OFERTA,PRECIO LISTA,PRECIO / M2,ANTICIPO,PRECIO CONTADO,PRECIO / M2,ANTICIPO,PRECIO POZO,PRECIO / M2,ANTICIPO
,"La siguiente línea de precios aplica a barrio similar a POSADAS AL RÍO (NO SE PUBLICA). En otros desarrollos consultar su vigencia, cupos y condiciones)",,,,,,,,,,,,,,,,"PLAN DE VENTA DENTRO DEL FIDEICOMISO CON ""CUPOS"" DE ENTREGA PROGRAMADA - ANTICIPO FLEXIBLE DEL 25% - SALDO 100% FINANCIADO BANCO + DESARROLLADOR",,,PROMOCIÓN PAGO CONTADO SOBRE PRECIO DE LISTA DENTRO DEL FIDEICOMISO/CUPO - APLICABLE A TODOS LOS MODELOS - SALDO 100% FINANCIADO BANCO + DESARROLLADOR,,,PLAN DE VENTA ESPECIAL PRECIO DE POZO DENTRO DEL FIDEICOMISO -  ANTICIPO FLEXIBLE DEL 35% Y AHORRO 35% SOBRE EL COSTO TOTAL (% anticipo = % descuento - Tope 35%). ,,
LÍNEA,HORMIGÓN ESTÁNDAR,,SISTEMA C.,Estilo,Tipología,Variante,M2 CUBIER.,M2 SEMIC.,Plantas,Dorm.,Baños,Toilette,Lavadero,Parrilla,COSTO PLANO,OFERTA,PRECIO LISTA,PRECIO / M2,ANTICIPO,PRECIO CONTADO,PRECIO / M2,ANTICIPO,PRECIO POZO,PRECIO / M2,ANTICIPO
TERRA,LOTE PROPIO 600M2,,,,,MÓDULOS,,,-,-,-,-,-,,$54.000,,"$67.500,00","$112,50","$16.875,00","$60.750,00","$101,25","$60.750,00","$45.562,50","$75,94","$34.171,88"
,LANIN,,HORMIGÓN MULTICAPA PLUS,Mediterráneo,U,2,"43,56","43,56",1,1,1,0,Ext.,Si,$68.607,Lote + Casa,"$78.898,05",$1.811,$19.725,"$71.008,25",$1.630,$71.008,"$58.443,00",$1.342,$20.455
,LANIN,,HORMIGÓN MULTICAPA PLUS,Mediterráneo,O,2,"43,56","21,78",1,1,1,0,Ext.,Si,$68.607,Lote + Casa,"$78.898,05",$1.811,$19.725,"$71.008,25",$1.630,$71.008,"$58.443,00",$1.342,$20.455
,COPAHUE,,HORMIGÓN MULTICAPA PLUS,Clásico,U,2,"43,56","43,56",1,1,1,0,Ext.,Si,$68.607,Lote + Casa,"$78.898,05",$1.811,$19.725,"$71.008,25",$1.630,$71.008,"$58.443,00",$1.342,$20.455
,COPAHUE,,HORMIGÓN MULTICAPA PLUS,Clásico,O,2,"43,56","21,78",1,1,1,0,Ext.,Si,$68.607,Lote + Casa,"$78.898,05",$1.811,$19.725,"$71.008,25",$1.630,$71.008,"$58.443,00",$1.342,$20.455
,MAHUIDA,,HORMIGÓN MULTICAPA PLUS,Moderno,U,2,"43,56","43,56",1,1,1,0,Ext.,Si,$68.607,Lote + Casa,"$78.898,05",$1.811,$19.725,"$71.008,25",$1.630,$71.008,"$58.443,00",$1.342,$20.455
,DOMUYO,,HORMIGÓN MULTICAPA PLUS,Moderno,O,2,"43,56","21,78",1,1,1,0,Ext.,Si,$68.607,Lote + Casa,"$78.898,05",$1.811,$19.725,"$71.008,25",$1.630,$71.008,"$58.443,00",$1.342,$20.455
,LANIN,,HORMIGÓN MULTICAPA PLUS,Mediterráneo,O,3,"65,34","21,78",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,COPAHUE,,HORMIGÓN MULTICAPA PLUS,Clásico,U,3,"65,34","43,56",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,COPAHUE,,HORMIGÓN MULTICAPA PLUS,Clásico,O,3,"65,34","21,78",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,DOMUYO,,HORMIGÓN MULTICAPA PLUS,Moderno,U,3,"65,34","43,56",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,DOMUYO,,HORMIGÓN MULTICAPA PLUS,Moderno,Z,3,"65,34","43,56",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,DOMUYO,,HORMIGÓN MULTICAPA PLUS,Moderno,O,3,"65,34","21,78",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,TROMEN,,HORMIGÓN MULTICAPA PLUS,Moderno,U,3,"65,34","43,56",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,TROMEN,,HORMIGÓN MULTICAPA PLUS,Moderno,Z,3,"65,34","43,56",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,MAHUIDA,,HORMIGÓN MULTICAPA PLUS,Moderno,Z,3,"65,34","43,56",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,LANIN,,HORMIGÓN MULTICAPA PLUS,Mediterráneo,O,4,"87,12","21,78",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,COPAHUE,,HORMIGÓN MULTICAPA PLUS,Clásico,O,4,"87,12","21,78",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,COPAHUE,,HORMIGÓN MULTICAPA PLUS,Clásico,U,4,"87,12","43,56",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,DOMUYO,,HORMIGÓN MULTICAPA PLUS,Moderno,Z,4,"87,12","43,56",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,DOMUYO,,HORMIGÓN MULTICAPA PLUS,Moderno,U,4,"87,12","43,56",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,DOMUYO,,HORMIGÓN MULTICAPA PLUS,Moderno,O,4,"87,12","21,78",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,TROMEN,,HORMIGÓN MULTICAPA PLUS,Moderno,U,4,"87,12","43,56",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,TROMEN,,HORMIGÓN MULTICAPA PLUS,Moderno,Z,4,"87,12","43,56",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,MAHUIDA,,HORMIGÓN MULTICAPA PLUS,Moderno,Z,4,"87,12","43,56",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,LANIN,,WOOD FRAMING PLUS,Mediterráneo,U,2,"43,56","43,56",1,1,1,0,Ext.,Si,$68.607,Lote + Casa,"$78.898,05",$1.811,$19.725,"$71.008,25",$1.630,$71.008,"$58.443,00",$1.342,$20.455
,LANIN,,WOOD FRAMING PLUS,Mediterráneo,O,2,"43,56","21,78",1,1,1,0,Ext.,Si,$68.607,Lote + Casa,"$78.898,05",$1.811,$19.725,"$71.008,25",$1.630,$71.008,"$58.443,00",$1.342,$20.455
,COPAHUE,,WOOD FRAMING PLUS,Clásico,U,2,"43,56","43,56",1,1,1,0,Ext.,Si,$68.607,Lote + Casa,"$78.898,05",$1.811,$19.725,"$71.008,25",$1.630,$71.008,"$58.443,00",$1.342,$20.455
,COPAHUE,,WOOD FRAMING PLUS,Clásico,O,2,"43,56","21,78",1,1,1,0,Ext.,Si,$68.607,Lote + Casa,"$78.898,05",$1.811,$19.725,"$71.008,25",$1.630,$71.008,"$58.443,00",$1.342,$20.455
,MAHUIDA,,WOOD FRAMING PLUS,Moderno,U,2,"43,56","43,56",1,1,1,0,Ext.,Si,$68.607,Lote + Casa,"$78.898,05",$1.811,$19.725,"$71.008,25",$1.630,$71.008,"$58.443,00",$1.342,$20.455
,DOMUYO,,WOOD FRAMING PLUS,Moderno,O,2,"43,56","21,78",1,1,1,0,Ext.,Si,$68.607,Lote + Casa,"$78.898,05",$1.811,$19.725,"$71.008,25",$1.630,$71.008,"$58.443,00",$1.342,$20.455
,LANIN,,WOOD FRAMING PLUS,Mediterráneo,O,3,"65,34","21,78",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,COPAHUE,,WOOD FRAMING PLUS,Clásico,U,3,"65,34","43,56",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,COPAHUE,,WOOD FRAMING PLUS,Clásico,O,3,"65,34","21,78",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,DOMUYO,,WOOD FRAMING PLUS,Moderno,U,3,"65,34","43,56",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,DOMUYO,,WOOD FRAMING PLUS,Moderno,Z,3,"65,34","43,56",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,DOMUYO,,WOOD FRAMING PLUS,Moderno,O,3,"65,34","21,78",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,TROMEN,,WOOD FRAMING PLUS,Moderno,U,3,"65,34","43,56",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,TROMEN,,WOOD FRAMING PLUS,Moderno,Z,3,"65,34","43,56",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,MAHUIDA,,WOOD FRAMING PLUS,Moderno,Z,3,"65,34","43,56",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,LANIN,,WOOD FRAMING PLUS,Mediterráneo,O,4,"87,12","21,78",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,COPAHUE,,WOOD FRAMING PLUS,Clásico,O,4,"87,12","21,78",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,COPAHUE,,WOOD FRAMING PLUS,Clásico,U,4,"87,12","43,56",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,DOMUYO,,WOOD FRAMING PLUS,Moderno,Z,4,"87,12","43,56",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,DOMUYO,,WOOD FRAMING PLUS,Moderno,U,4,"87,12","43,56",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,DOMUYO,,WOOD FRAMING PLUS,Moderno,O,4,"87,12","21,78",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,TROMEN,,WOOD FRAMING PLUS,Moderno,U,4,"87,12","43,56",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,TROMEN,,WOOD FRAMING PLUS,Moderno,Z,4,"87,12","43,56",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,MAHUIDA,,WOOD FRAMING PLUS,Moderno,Z,4,"87,12","43,56",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,LANIN,,STEEL FRAMING PLUS,Mediterráneo,U,2,"43,56","43,56",1,1,1,0,Ext.,Si,$68.607,Lote + Casa,"$78.898,05",$1.811,$19.725,"$71.008,25",$1.630,$71.008,"$58.443,00",$1.342,$20.455
,LANIN,,STEEL FRAMING PLUS,Mediterráneo,O,2,"43,56","21,78",1,1,1,0,Ext.,Si,$68.607,Lote + Casa,"$78.898,05",$1.811,$19.725,"$71.008,25",$1.630,$71.008,"$58.443,00",$1.342,$20.455
,COPAHUE,,STEEL FRAMING PLUS,Clásico,U,2,"43,56","43,56",1,1,1,0,Ext.,Si,$68.607,Lote + Casa,"$78.898,05",$1.811,$19.725,"$71.008,25",$1.630,$71.008,"$58.443,00",$1.342,$20.455
,COPAHUE,,STEEL FRAMING PLUS,Clásico,O,2,"43,56","21,78",1,1,1,0,Ext.,Si,$68.607,Lote + Casa,"$78.898,05",$1.811,$19.725,"$71.008,25",$1.630,$71.008,"$58.443,00",$1.342,$20.455
,MAHUIDA,,STEEL FRAMING PLUS,Moderno,U,2,"43,56","43,56",1,1,1,0,Ext.,Si,$68.607,Lote + Casa,"$78.898,05",$1.811,$19.725,"$71.008,25",$1.630,$71.008,"$58.443,00",$1.342,$20.455
,DOMUYO,,STEEL FRAMING PLUS,Moderno,O,2,"43,56","21,78",1,1,1,0,Ext.,Si,$68.607,Lote + Casa,"$78.898,05",$1.811,$19.725,"$71.008,25",$1.630,$71.008,"$58.443,00",$1.342,$20.455
,LANIN,,STEEL FRAMING PLUS,Mediterráneo,O,3,"65,34","21,78",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,COPAHUE,,STEEL FRAMING PLUS,Clásico,U,3,"65,34","43,56",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,COPAHUE,,STEEL FRAMING PLUS,Clásico,O,3,"65,34","21,78",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,DOMUYO,,STEEL FRAMING PLUS,Moderno,U,3,"65,34","43,56",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,DOMUYO,,STEEL FRAMING PLUS,Moderno,Z,3,"65,34","43,56",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,DOMUYO,,STEEL FRAMING PLUS,Moderno,O,3,"65,34","21,78",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,TROMEN,,STEEL FRAMING PLUS,Moderno,U,3,"65,34","43,56",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,TROMEN,,STEEL FRAMING PLUS,Moderno,Z,3,"65,34","43,56",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,MAHUIDA,,STEEL FRAMING PLUS,Moderno,Z,3,"65,34","43,56",1,2,1,0,Ext.,Si,$102.911,Lote + Casa,"$118.347,08",$1.811,$29.587,"$106.512,37",$1.630,$106.512,"$87.664,50",$1.342,$30.683
,LANIN,,STEEL FRAMING PLUS,Mediterráneo,O,4,"87,12","21,78",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,COPAHUE,,STEEL FRAMING PLUS,Clásico,O,4,"87,12","21,78",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,COPAHUE,,STEEL FRAMING PLUS,Clásico,U,4,"87,12","43,56",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,DOMUYO,,STEEL FRAMING PLUS,Moderno,Z,4,"87,12","43,56",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,DOMUYO,,STEEL FRAMING PLUS,Moderno,U,4,"87,12","43,56",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,DOMUYO,,STEEL FRAMING PLUS,Moderno,O,4,"87,12","21,78",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,TROMEN,,STEEL FRAMING PLUS,Moderno,U,4,"87,12","43,56",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,TROMEN,,STEEL FRAMING PLUS,Moderno,Z,4,"87,12","43,56",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
,MAHUIDA,,STEEL FRAMING PLUS,Moderno,Z,4,"87,12","43,56",1,3,2,0,Ext.,Si,$137.214,Lote + Casa,"$157.796,10",$1.811,$39.449,"$142.016,49",$1.630,$142.016,"$116.886,00",$1.342,$40.910
